Source,Relationship,Target,Count
Framework,INVOLVED_IN,Entity,1
Framework,SERVES,Entity,1
Framework,CROSS_FUNCTIONALITY,Entity,1
Framework,INCLUDES,Event,2
Framework,WORKS_ON,Framework,1
Framework,USES,Framework,1
Framework,IS_BASED_ON,Value,1
Organization,WORKS_ON,Entity,1
Organization,IS_CEO,Entity,1
Organization,ADDRESSE,Entity,1
Organization,HOST,Event,1
Person,CO_PRESENT,Entity,2
Person,GAIN,Entity,1
Person,DEVELOPED_IN_EARLY_1990,Framework,1
Person,EVOLV,Framework,1
Person,CO_FOUNDED_WITH_KEN_SCHWABER,Framework,1
Person,DEVELOP,Framework,1
Person,CO_FOUND,Person,1
Person,CO_PRESENTED_WITH,Person,1
Person,SUSTAINED_BY,Person,1
Person,GAIN,Person,1
Role,SELECT_ITEMS_FROM_THE_PRODUCT_BACKLOG,Artifact,1
Role,PRODUCE,Artifact,1
Role,CONFORM_TO_THE_DEF_OF_DONE,Artifact,1
Role,COMMITMENT,Artifact,1
Role,MANAGES,Artifact,1
Role,IS_RESPONSIBLE_FOR,Artifact,1
Role,DEVELOPING_COMMUNICATING_GOAL,Artifact,1
Role,RESPONSIBLE_REFINING_BACKLOG,Artifact,1
Role,HAS_PRODUCT_BACKLOG,Artifact,1
Role,ALIGNS_WITH,Artifact,1
Role,NEGOTIATE_SCOPE_OF,Artifact,1
Role,CREATING_COMMUNICATING_ITEM,Artifact,1
Role,ORDERING_PRODUCT_BACKLOG_ITEM,Artifact,1
Role,ACCT,Artifact,1
Role,HAS_SPRINT_BACKLOG,Artifact,1
Role,COMMIT_TO_ACHIEVING_GOAL,Artifact,1
Role,DEFINES,Artifact,1
Role,INSTILLING_QUALITY_BY_ADHERING_TO_A_DEF_OF_DONE,Artifact,1
Role,HAS_ROLE,Entity,7
Role,IS_RESPONSIBLE_FOR,Entity,2
Role,HAS_RESP,Entity,2
Role,PLAN,Entity,1
Role,REQUIRE,Entity,1
Role,ROLE,Entity,1
Role,PROPOSE_INCREASE_UTILITY,Entity,1
Role,WORKS_ON,Entity,1
Role,FACILITATES,Entity,1
Role,HOLDS_POSITION,Entity,1
Role,REMOVES_IMPEDIMENT,Entity,1
Role,OPEN_ABOUT_CHALLENGE,Entity,1
Role,HOLDING_EACH_OTHER_ACCOUNTABLE_AS_PROFESSIONAL,Entity,1
Role,ADAPTING_DAY_GOAL,Entity,1
Role,INVOLVED_IN,Entity,1
Role,CHANGED_IN_ENVIRONMENT,Entity,1
Role,EMPHASIZE,Entity,1
Role,CREATING_A_PLAN_FOR_THE_SPRINT,Event,1
Role,CONDUCT,Event,1
Role,COORDINATE,Event,1
Role,EVALUAT,Event,1
Role,SELECT_TO_SPRINT,Event,1
Role,PARTICIPATES_IN,Event,1
Role,STANDS_BEHIND,Framework,1
Role,REMOVE_IMPEDIMENTS_TO_PROGRESS,Framework,1
Role,HAS_SPRINT_GOAL,Framework,1
Role,FACILITATES,Framework,1
Role,FOLLOW,Framework,1
Role,HAS_INTEREST_IN,Organization,1
Role,WORKS_ON,Organization,1
Role,SERVED_BY,Organization,1
Role,SERVES,Organization,1
Role,PLANNING_AND_ADVISING_SCRUM_IMPLS_WITHIN_THE_ORG,Organization,1
Role,WORKS_ON,Role,2
Role,HELPED_UNDERSTAND_TRADE_OFFS_BY,Role,1
Role,HAS_SCRUM_MASTER,Role,1
Role,DEFINING_PRODUCT_BACKLOG_ITEM,Role,1
Role,INFLUENCE,Role,1
Role,COORDINATES_WITH,Role,1
Role,COLLABORATE_WITH,Role,1
Role,MANAGES,Role,1
Role,HELP,Role,1
Role,COACH,Role,1
Role,MENTOR,Role,1
Role,ASSIGN,Role,1
Role,REPORTS_TO,Role,1
Role,PART_OF,Team,3
Role,INCLUDED_IN,Team,1
Role,WORKS_ON,Team,1
Role,LEADS_DEV_TEAM,Team,1
Role,LEAD,Team,1
Role,DELIVER_USABLE_INCREMENT,Team,1
Role,SUPPORTS_DEV_TEAM,Team,1
Role,ENSURING_SCRUM_EVENTS_TAKE_PLACE,Team,1
Role,CAUSING_REMOVAL_OF_IMPEDIMENT,Team,1
Role,SUPPORT,Team,1
Role,LEADING_ORG_ADOPTION,Team,1
Role,FACILITATING_STAKEHOLDER_COLLAB_AS_REQUESTED_OR_NE,Team,1
Team,PRODUCES_INCREMENT,Artifact,2
Team,CREATES,Artifact,1
Team,WORKS_ON,Artifact,1
Team,DELIVERS,Artifact,1
Team,ENSURING_IS_UNDERSTOOD,Artifact,1
Team,PRODUCT_GOAL,Artifact,1
Team,RESPONSIBLE_FOR,Entity,7
Team,EMPHASIZES_IMPORTANCE_OF_TEAM_ADAPTATION_TO_CHANGE,Entity,1
Team,IS_COMPOSED_OF,Entity,1
Team,CONSISTS_OF,Entity,1
Team,HAS_SIZE,Entity,1
Team,REVIEW_ACCOMPLISHMENT,Entity,1
Team,CHANGED_IN_ENVIRONMENT,Entity,1
Team,IS_RESPONSIBLE_FOR,Entity,1
Team,HAS_SPRINT,Event,1
Team,PARTICIPATES_IN,Event,1
Team,IS_SUBJECT_TO,Event,1
Team,IS_COMPOSED_OF,Framework,1
Team,ENSURE_TEAM_EFF,Framework,1
Team,IMPROVE,Framework,1
Team,WORKS_ON,Role,1
Team,HAS_SCRUM_MASTER,Role,1
Team,HAS_MEMBER,Role,1
Team,IS_SELF_MANAG,Role,1
Team,IS_CROSS_FUNCTIONAL,Role,1
Team,INCLUDES,Role,1
Team,HELPING_FOR_ITEM,Role,1
Team,COLLABORATE_ON_NEXT_STEP,Role,1
Team,HAS_STAKEHOLDER,Role,1
Team,IS_SUPPORTED_BY_SCRUM_MASTER,Role,1
Team,IS_LED_BY_PRODUCT_OWNER,Role,1
Team,REPORTS_TO,Role,1
Team,COLLABORATES_WITH,Role,1
Team,WORKS_ON,Team,1
Value,PART_OF,Entity,5
Value,IS_RELATED_TO,Entity,1
Value,VALUES_RESPECT,Value,1
Value,HAS_FOCU,Value,1
Value,DEMONSTRATES_COMMITMENT,Value,1
